,Year,Quarter,Month,Day,Aircraft Manufacturer,Aircraft,Location,Operator,Ground,Fatalities (air),Aboard,Country,Date
1465,1954,Qtr 2,May,22,McDonnell Douglas,Douglas DC 3ZK,Paraparaumu New,Airways National Zealand ZealandNew,0,3,28,New Zealand,1954-05-22
1466,1954,Qtr 2,May,31,McDonnell Douglas,Douglas DC 3PP,Cipo Mountain Brazil,Nacionales Aereos Transportes,0,19,19,Brazil,1954-05-31
1467,1954,Qtr 2,June,3,McDonnell Douglas,Douglas C 47AOO,Near Maribor Slovenia,Sabena,0,1,4,Slovenia,1954-06-03
1468,1954,Qtr 2,June,4,Curtiss,Curtiss C 46APP,Sao Paulo Brazil,Varig,0,3,3,Brazil,1954-06-04
1469,1954,Qtr 2,June,8,McDonnell Douglas,Douglas C 47,Da Nang Vietnam,Orient d'Extrême Aériens Tr. de Soc.,0,4,4,Vietnam,1954-06-08
1470,1954,Qtr 2,June,19,Convair,Convair CV 240,Off Folkestone England,Swissair,0,3,9,UK,1954-06-19
1471,1954,Qtr 3,July,2,Lockheed Martin,Lockheed C 28C,Near Salvador Brazil,Force Air Brazilian - Military,0,24,24,Brazil,1954-07-02
1472,1954,Qtr 3,July,23,McDonnell Douglas,Douglas DC 4VR,Off Hainan Island China,Airways Pacific Cathay,0,10,18,China,1954-07-23
1473,1954,Qtr 3,August,8,McDonnell Douglas,Douglas DC 2N91008,Near McGrath Alaska,Airlines Alaska,0,2,2,USA,1954-08-08
1474,1954,Qtr 3,August,9,Lockheed Martin,Lockheed 749A 79 ConstellationHK,Terceira Island Azores,Portugal AVIANCA,0,30,30,Portugal,1954-08-09
1475,1954,Qtr 3,August,12,McDonnell Douglas,Douglas DC 3F,VietnamAutrex,,0,3,3,Vietnam,1954-08-12
1476,1954,Qtr 3,August,16,Bristol,Bristol 170 Freighter 21EF VNAI,Near Pakse Laos,Vietnam) (South Vietnam Air,0,47,55,Laos,1954-08-16
1477,1954,Qtr 3,August,22,McDonnell Douglas,Douglas DC 3N61451,Near Mason City Iowa,Airlines Braniff,0,12,19,USA,1954-08-22
1478,1954,Qtr 3,August,23,McDonnell Douglas,Douglas DC 6BPH,Off IJuuiden North,Airlines Dutch Royal SeaKLM,0,21,21,Netherlands,1954-08-23
1479,1954,Qtr 3,August,26,Lisunov,Lisunov LI 2CCCP,Sakhalin Oblast Russia,Aeroflot,1,26,27,Russia,1954-08-26
1480,1954,Qtr 3,August,27,Convair,Convair RB 36H51,Near Rapid City South,Force Air U.S. - DekotaMilitary,0,26,27,USA,1954-08-27
1481,1954,Qtr 3,September,5,Lockheed Martin,Lockheed 1049C 55,Foynes Ireland,Airlines Dutch Royal KLM,0,28,56,Ireland,1954-09-05
1482,1954,Qtr 3,September,12,McDonnell Douglas,Douglas DC 3PP,Off Rio de Janeiro Brazil,Cruzeiro,0,6,26,Brazil,1954-09-12
1483,1954,Qtr 3,September,15,Vickers,Vickers 634 VikingSU AFO,Cairo Egypt,Misrair,0,3,4,Egypt,1954-09-15
