,Year,Quarter,Month,Day,Aircraft Manufacturer,Aircraft,Location,Operator,Ground,Fatalities (air),Aboard,Country,Date
2828,1975,Qtr 3,September,30,Tupolev,Tupolev TU 154BHA,Off Beirut Lebanon,Airlines Hungarian Malev,0,60,60,Lebanon,1975-09-30
2829,1975,Qtr 3,September,30,Boeing,Boeing 727 24CHK,Barranquilla Colombia,Avianca,0,4,4,Colombia,1975-09-30
2830,1975,Qtr 4,October,22,Yakovlev,Yakovlev YAK 40CCCP,Novgorod Russia,Aeroflot,5,6,6,Russia,1975-10-22
2831,1975,Qtr 4,October,23,De Havilland,de Havilland DH114 Heron 2EVH CLS,Cairns Airport Queensland,Australia Connair,0,11,11,Australia,1975-10-23
2832,1975,Qtr 4,October,27,Convair,Convair CV 440,Tomonoco Bolivia,(Bolivia) TAM,0,67,67,Bolivia,1975-10-27
2833,1975,Qtr 4,October,30,McDonnell Douglas,McDonnell Douglas DC 9,Near Prague Czechoslovakia,Aviopromet Adria Inex,0,75,120,Slovakia,1975-10-30
2834,1975,Qtr 4,November,3,Bell,Bell 212N90057,Gulf of MexicoPetroleum Helicopter,,0,9,9,USA,1975-11-03
2835,1975,Qtr 4,November,17,Antonov,Antonov AN 24CCCP,Near Sukhumi Georgia,USSRAeroflot,0,38,38,USA,1975-11-17
2836,1975,Qtr 4,November,18,McDonnell Douglas,Douglas DC 3TG,Caoba Guatemala,Aviateca,0,15,22,Guatemala,1975-11-18
2837,1975,Qtr 4,November,20,Antonov,Antonov AN 24CCCP,Kharkov Ukraine,USSRAeroflot,0,19,50,Ukraine,1975-11-20
2838,1975,Qtr 4,November,22,Antonov,Antonov AN 24BLZ,Sofia Bulgaria,Airlines Bulgarian Balkan,0,3,48,Bulgaria,1975-11-22
2839,1975,Qtr 4,November,25,Lockheed Martin,Lockheed C 130 Hercules011,Near Bir Lahfan Egypt,Force Air  Israel - Military,0,20,20,Egypt,1975-11-25
2840,1975,Qtr 4,November,29,,Piper PA 23,Hertfordshire England,Private,0,6,6,UK,1975-11-29
2841,1975,Qtr 4,December,26,Mitsubishi,Mitsubishi MU 2BN133MA,Rollinsville Colorado,Aviation Star,0,9,9,USA,1975-12-26
2842,1976,Qtr 1,January,1,Boeing,Boeing B 720B,Near Al Qaysumah Saudi,Airlines East ArabiaMiddle,0,82,82,Saudi Arabia,1976-01-01
2843,1976,Qtr 1,January,3,Learjet,Lear Jet 24AN651LJ,Anchorage Alaska,Air Winship,0,6,6,USA,1976-01-03
2844,1976,Qtr 1,January,3,Tupolev,Tupolev Tu 124CCCP,Moscow Russia,Aeroflot,1,61,61,Russia,1976-01-03
2845,1976,Qtr 1,January,8,Britten,Britten  Norman BN,Mactan Island Philippines,Aerotransport Philippine,0,7,7,Philippines,1976-01-08
2846,1976,Qtr 1,January,18,McDonnell Douglas,Douglas C 47CP,Near San Borja Bolivia,Maniqui Frigorifico,0,7,10,Bolivia,1976-01-18
2847,1976,Qtr 1,January,20,Hawker Siddeley,Hawker Siddeley HS 748,Near Loja Ecuador,TAME,0,34,42,Ecuador,1976-01-20
2848,1976,Qtr 1,January,21,Antonov,Antonov AN 24B,Near Shanghai China,CAAC,0,40,40,China,1976-01-21
2849,1976,Qtr 1,January,22,Embraer,Embraer 110C BandeirantePT TBD,Chapeco Brazil,Transbrasil,0,9,11,Brazil,1976-01-22
2850,1976,Qtr 1,February,4,McDonnell Douglas,Douglas DC 6AHK,Off Santa Maria Colombia,Colombia LAC,0,3,3,Colombia,1976-02-04
2851,1976,Qtr 1,February,8,McDonnell Douglas,Douglas DC 6N901MA,Van Nuys California,Airlines Mercer,0,3,6,USA,1976-02-08
2852,1976,Qtr 1,February,9,Tupolev,Tupolev TU 104ACCCP,Irkutsk Russia,Aeroflot,0,24,124,Russia,1976-02-09
2853,1976,Qtr 1,February,21,Grumman,Grumman G 21A seaplaneN4772C,St. Croix Virgin,Air IslandsAntilles,0,5,11,USA,1976-02-21
2854,1976,Qtr 1,March,1,Ilyushin,Ilyushin II 14PYR,Sibiu Romania,TAROM,0,6,9,Romania,1976-03-01
2855,1976,Qtr 1,March,2,Israel Aerospace Industries (IAI),IAI Arava 201TAM 76,Southeastern BoliviaTAM (Bolivia),,0,19,22,Bolivia,1976-03-02
2856,1976,Qtr 1,March,6,Ilyushin,Ilyushin IL 18ECCCP,Near Voronezh Russia,Aeroflot,7,111,111,Russia,1976-03-06
2857,1976,Qtr 1,March,7,Cessna,Cessna 207N91142,Igiugig Alaska,Airlines Alaska Western Kodiak,0,4,4,USA,1976-03-07
2858,1976,Qtr 2,April,2,McDonnell Douglas,Douglas DC 3FAC,Near Puerto Asis Colombia,Satena,0,5,16,Colombia,1976-04-02
2859,1976,Qtr 2,April,5,Boeing,Boeing B 727,Ketchikan Alaska,Airlines Alaska,0,1,50,USA,1976-04-05
2860,1976,Qtr 2,April,14,Hawker Siddeley,Hawker Siddeley HS 748 2LV,Neuquen Argentina,Fiscales Petroliferos Yacimientos,0,34,34,Argentina,1976-04-14
2861,1976,Qtr 2,April,23,Bell,Bell 205 A 1 helicopterN8167J,Gulf of MexicoPetroleum Helicopter,,0,12,12,USA,1976-04-23
2862,1976,Qtr 2,April,27,Boeing,Boeing B 727,St. Thomas Virgin,Airlines IslandsAmerican,0,37,88,USA,1976-04-27
2863,1976,Qtr 2,May,5,Britten,Britten  Norman BN,Camuigan Philippines,Aerotransport Philippine,0,4,10,Philippines,1976-05-05
2864,1976,Qtr 2,May,9,Boeing,Boeing B 747,Near Cuneca Spain,Force Air Iranian Imperial - Military,0,17,17,Spain,1976-05-09
2865,1976,Qtr 2,May,15,Antonov,Antonov AN 24CCCP,Chernigov Ukraine,USSRAeroflot,0,52,52,Ukraine,1976-05-15
2866,1976,Qtr 2,May,23,Rohrbach,BAC One Eleven 527FKRP,Zamboanga Philipines,Lines Air Philippine,3,14,87,Philippines,1976-05-23
2867,1976,Qtr 2,June,1,Tupolev,Tupolev TU 154ACCCP,Nacias Nguema Equatorial,GuineaAeroflot,0,45,45,Equatorial Guinea,1976-06-01
2868,1976,Qtr 2,June,4,,Lockheed 188A ElectraRP C1061,Agana Guam,Manila Air,1,45,45,USA,1976-06-04
2869,1976,Qtr 2,June,6,GAF Nomad,GAF Nomad N 22B9M,Off Kota Kinabalu Malaysia,Air Sabah,0,11,11,Malaysia,1976-06-06
2870,1976,Qtr 2,June,27,Airbus,Airbus A300F BVGG,Entebbe Uganda,France Air,0,7,258,Uganda,1976-06-27
2871,1976,Qtr 3,July,5,McDonnell Douglas,Douglas C 47?,Daiku Burma,Force Air Burma - Military,0,17,17,Myanmar,1976-07-05
2872,1976,Qtr 3,July,28,Ilyushin,Ilyushin IL 18LOK,Bratislava Czechoslovakia,Aerolinie Ceskoslovenske,0,76,79,Slovakia,1976-07-28
2873,1976,Qtr 3,August,2,Boeing,Boeing 707 373HL7412,Near Tehran Iran,Airlines Korean,0,5,5,Iran,1976-08-02
2874,1976,Qtr 3,August,9,McDonnell Douglas,Douglas C 54ET4/11,"Moron AFB Spain
	
Moron",SpainMoron AFB          AFB,0,12,32,Spain,1976-08-09
2875,1976,Qtr 3,August,15,Vickers,Vickers Viscount 785DHC ARS,Andes Mountains Ecuador,SAETA,0,59,59,Ecuador,1976-08-15
2876,1976,Qtr 3,August,28,Lockheed Martin,Lockheed C 141A (L.300)67,Near Thorney England,Force Air U.S. - Military,0,18,18,UK,1976-08-28
2877,1976,Qtr 3,August,28,Sud Aviation,Sud Aviation SE 210 Caravelle IIIF BSGZ,Ho Chi Minh City Vietnam,France Air,0,1,20,Vietnam,1976-08-28
2878,1976,Qtr 3,September,2,,Hughes 369HSN9172F,Hawk Inlet Alaska,Taxi Air - Helicopter Temsco,0,3,4,USA,1976-09-02
2879,1976,Qtr 3,September,3,Lockheed Martin,Lockheed C 130H7772,Lajes Azores,Portugal Military - Venezuelan Air Force,0,68,68,Portugal,1976-09-03
2880,1976,Qtr 3,September,9,Antonov,Antonov AN 24 / Yakovlev Yak,Off Adler Russia,Aeroflot / Aeroflot,0,64,64,Russia,1976-09-09
2881,1976,Qtr 3,September,10,McDonnell Douglas,McDonnell Douglas DC 9,Near Gaj Hrvatska,Yugoslavia Inex Adria Aviopromet / British Airways,0,176,176,Croatia,1976-09-10
2882,1976,Qtr 3,September,19,Boeing,Boeing B 727,Karatepe Mountains Turkey,(THY) Airlines Turkish,0,154,154,Turkey,1976-09-19
2883,1976,Qtr 3,September,26,Boeing,Boeing KC 135A61,Near Alpena Michigan,Force Air U.S. - Military,0,15,20,USA,1976-09-26
2884,1976,Qtr 4,October,4,McDonnell Douglas,Douglas DC 7CFTZ,Nairobi Kenya,Transport Air Emirates,0,4,4,Kenya,1976-10-04
2885,1976,Qtr 4,October,6,McDonnell Douglas,McDonnell Douglas DC 8,Off Bridgetown Barbados,Aviacion de Cubana,0,73,73,Barbados,1976-10-06
2886,1976,Qtr 4,October,13,Sud Aviation,Sud  Aviation Caravelle VI,Near Bombay India,Airlines Indian,0,95,95,India,1976-10-13
2887,1976,Qtr 4,October,13,Boeing,Boeing B 707,Santa Cruz Bolivia,Boliviano Aéreo Lloyd,113,3,3,Bolivia,1976-10-13
2888,1976,Qtr 4,October,28,Embraer,Embraer 110C BandeirantePT TBA,Near Petrolia Brazil,Aéreas Linhas Nordeste,0,2,7,Brazil,1976-10-28
2889,1976,Qtr 4,November,4,Fokker,Fokker F 27 Friendship 100PK,Banjarmasin Indonesia,Service Air International Bali,0,29,38,Indonesia,1976-11-04
2890,1976,Qtr 4,November,5,McDonnell Douglas,Douglas DC 3HP,Atlantic OceanInair Panama,,0,2,2,International Waters,1976-11-05
2891,1976,Qtr 4,November,23,NAMC,NAMC YS 11A,Kozani Greece,Airways Olympic,0,50,50,Greece,1976-11-23
2892,1976,Qtr 4,November,28,Tupolev,Tupolev TU 104BCCCP,Moscow Russia,Aeroflot,0,73,73,Russia,1976-11-28
2893,1976,Qtr 4,December,12,De Havilland,de Havilland Canada DHC 6 Twin Otter 300N101AC,Cape May New,Airlines City JerseyAtlantic,0,3,10,New Zealand,1976-12-12
2894,1976,Qtr 4,December,17,Yakovlev,Yakovlev 40CCCP 88208,Ust-Kut Russia,Aeroflot,0,7,7,Russia,1976-12-17
2895,1976,Qtr 4,December,17,Antonov,Antonov AN 24RVCCCP,Kiev USSRAeroflot,,0,48,55,Russia,1976-12-17
2896,1976,Qtr 4,December,18,Ilyushin,Ilyushin IL 14MCCCP,Nnear Yuzhno-Sakhalinsk Russia,Aeroflot,0,8,8,Russia,1976-12-18
2897,1976,Qtr 4,December,25,Boeing,Boeing B 707,Near Bangkok Thailand,Egypt,19,53,53,Thailand,1976-12-25
2898,1976,Qtr 4,December,31,McDonnell Douglas,Douglas C 54A,Near Trujillo Peru,Faucett,0,19,19,Peru,1976-12-31
2899,1977,Qtr 1,January,6,Learjet,Gates Learjet 24BN12MK,Near Palm Springs California,Charter Avia Jet,0,4,4,USA,1977-01-06
2900,1977,Qtr 1,January,13,McDonnell Douglas,Douglas DC 8JA8054,Anchorage Alaska,Lines Air Japan,0,5,5,USA,1977-01-13
2901,1977,Qtr 1,January,13,Tupolev,Tupolev TU 104ACCCP,Near Alma Ata,USSRAeroflot          Kazakastan,0,90,90,Kazakhstan,1977-01-13
2902,1977,Qtr 1,January,14,De Havilland,de Havilland Canada DHC 6 Twin Otter 300C,Terrace BC,Canada Northern Thunderbird Air Ltd.,0,12,12,Canada,1977-01-14
2903,1977,Qtr 1,January,15,Vickers,Vickers Viscount 838SE FOZ,Kalvesta Sweden,Sweden Skyline,0,22,22,Sweden,1977-01-15
2904,1977,Qtr 1,January,20,Bristol,Bristol 170 Freighter 31MC FWAD,?North Canada Air,,0,1,2,International Waters,1977-01-20
2905,1977,Qtr 1,February,11,Sud Aviation,Avia 14TOK OCA,Bratislava Slovakia,Aerolinie Ceskoslovenské,0,4,5,Slovakia,1977-02-11
2906,1977,Qtr 1,February,15,Ilyushin,Ilyushin IL 18VCCCP,Mineralnye Vody Russia,Aeroflot,0,77,98,Russia,1977-02-15
2907,1977,Qtr 1,February,28,McDonnell Douglas,Douglas DC 3C,Near Saglouc Canada,Survair,0,4,10,Canada,1977-02-28
2908,1977,Qtr 1,March,1,McDonnell Douglas,Douglas DC 37O,Off Aden Yemen,Alyemda,0,19,21,Yemen,1977-03-01
2909,1977,Qtr 1,March,3,Lockheed Martin,Lockheed C 130HMM61995,Near Cascina Italy,Force Air Italian - Military,0,44,44,Italy,1977-03-03
2910,1977,Qtr 1,March,4,McDonnell Douglas,McDonnell Douglas DC 8,Niamey Niger,Airways National Overseas,0,2,4,Niger,1977-03-04
2911,1977,Qtr 1,March,27,Boeing,Boeing B 747,Tenerife Canary,KLM / Airways World American IslandsPan,0,583,644,Canary Islands,1977-03-27
2912,1977,Qtr 1,March,29,De Havilland,de Havilland Canada DHC 6 Twin Otter 300PK,Bainaha Valley Indonesia,Airlines Nusantara Merpati,0,15,23,Indonesia,1977-03-29
2913,1977,Qtr 1,March,30,Yakovlev,Yakovlev YAK 40CCCP,Near Zhadanof Russia,Aeroflot,0,8,27,Russia,1977-03-30
2914,1977,Qtr 2,April,4,McDonnell Douglas,McDonnell Douglas DC 9,New Hope Georgia,Airways Southern,8,62,85,USA,1977-04-04
2915,1977,Qtr 2,April,10,McDonnell Douglas,Douglas DC 3,SW of Bogota Colombia,Venado El,0,35,35,Colombia,1977-04-10
2916,1977,Qtr 2,April,19,Antonov,Antonov AN 24?,Tapa AFB Estonia,Force Air Soviet - Military,0,21,21,Estonia,1977-04-19
2917,1977,Qtr 2,April,27,Convair,Convair CV 440TG,Guatemala City Guatemala,Aviateca,0,28,28,Guatemala,1977-04-27
2918,1977,Qtr 2,May,10,Sikorsky,Sikorsky CH 53D (helicopter)360,Near Jericho Jordan,Force Air Israel - Military,0,54,54,Jordan,1977-05-10
2919,1977,Qtr 2,May,13,Antonov,Antonov An 12BPSP,Beiruit Lebanon,Airlines Polish Lot,0,9,9,Lebanon,1977-05-13
2920,1977,Qtr 2,May,14,Boeing,Boeing 707 321CG,Near Lusaka Zambia,Cargo IAS,0,6,6,Zambia,1977-05-14
2921,1977,Qtr 2,May,16,Sikorsky,Sikorsky S61LN619PA,New York New,Helicopter York  YorkNew,1,4,25,New Zealand,1977-05-16
2922,1977,Qtr 2,May,27,Ilyushin,Ilyushin IL 62MCCCP,Havana Cuba,Aeroflot,0,67,69,Cuba,1977-05-27
2923,1977,Qtr 2,June,3,Embraer,Embraer C 95 BandeiranteFAB2157,Natal Brazil,Force Air Brazilian - Military,0,18,18,Brazil,1977-06-03
2924,1977,Qtr 2,June,20,Embraer,Embraer 110C BandeiranteCX BJE,Salto-Nueva Hesperides Uruguay,Uruguaya Aérea Fuerza,0,12,15,Uruguay,1977-06-20
2925,1977,Qtr 2,June,21,Lockheed Martin,Lockheed EC 130Q156176,Off Wake IslandMilitary - U.S. Navy,,0,16,16,USA,1977-06-21
2926,1977,Qtr 3,July,6,Lockheed Martin,Lockheed L 188AF ElectraN280F,Saint Louis Missouri,Airways International Fleming,0,3,3,USA,1977-07-06
2927,1977,Qtr 3,July,8,Antonov,Antonov AN 24CCCP,Off Kirovograd Ukraine,Aeroflot,0,6,7,Ukraine,1977-07-08
2928,1977,Qtr 3,July,14,Antonov,Antonov AN 26?,Near Cuangar Angola,Force Air Angolan - Military,0,30,30,Angola,1977-07-14
2929,1977,Qtr 3,July,20,Ilyushin,Ilyushin IL 14MCCCP,Vitim Russia,Aeroflot,0,40,40,Russia,1977-07-20
2930,1977,Qtr 3,July,20,McDonnell Douglas,Douglas DC 3ET,Jima Ethiopia,Airlines Ethiopian,0,5,5,Ethiopia,1977-07-20
2931,1977,Qtr 3,July,24,McDonnell Douglas,Douglas DC 6BFAC,Near Puerto Montt Chile,Force Air Chilean - Military,0,38,82,Chile,1977-07-24
2932,1977,Qtr 3,July,25,McDonnell Douglas,Douglas C 47FAH,Near Yoro Honduras,Force Air Honduran - Military,0,25,40,Honduras,1977-07-25
2933,1977,Qtr 3,August,1,Bell,Bell 206B JetRangerN4TV,Encino California,Angeles Los KNBC Private,0,2,2,USA,1977-08-01
2934,1977,Qtr 3,August,20,Convair,Convair CV 880N8817E,San Jose Costa,Aviation RicaMonarch,0,3,3,Costa Rica,1977-08-20
2935,1977,Qtr 3,August,25,,Shorts SC 7 Skyvan 3,Kona Hawaii,Airways Island,0,2,2,USA,1977-08-25
2936,1977,Qtr 3,September,2,,Canadair CL 44D4,Off Hong KongTransmeridian Air Cargo,,0,4,4,China,1977-09-02
2937,1977,Qtr 3,September,4,Vickers,Vickers Viscount 764DHC BCL,Near Cuenca Ecuador,Airways Nacionales Aereos Servicios,0,33,33,Ecuador,1977-09-04
2938,1977,Qtr 3,September,6,De Havilland,de Havilland Canada DHC 6 Twin Otter 200N563MA,Mt. Iliamna Alaska,Industries Aeronautical Alaska,0,13,13,USA,1977-09-06
2939,1977,Qtr 3,September,8,De Havilland,de Havilland Canada DHC 6 Twin Otter 300XY,Mt. Loi Hsam Hsao Burma,Airways Burma,0,19,19,Myanmar,1977-09-08
2940,1977,Qtr 3,September,12,McDonnell Douglas,Douglas DC 7BFN6314J,Yakutat Alaska,Cargo Air Safe,0,4,4,USA,1977-09-12
2941,1977,Qtr 3,September,14,Boeing,Boeing   EC,Near Albuquerque New,Force Air U.S. - MexicoMilitary,0,20,20,New Zealand,1977-09-14
2942,1977,Qtr 3,September,22,Tupolev,Tupolev TU 134HA,Bucharest Romania,Airlines Hungarian Malev,0,29,53,Romania,1977-09-22
2943,1977,Qtr 3,September,27,McDonnell Douglas,McDonnell Douglas DC 8,Kuala Lumpur,Lines Air MalaysiaJapan,0,34,79,Malaysia,1977-09-27
2944,1977,Qtr 4,October,20,Convair,Convair CV 300N55VM,Near Gillsburg Mississippi,Company J & L,0,6,26,USA,1977-10-20
2945,1977,Qtr 4,October,21,Sikorsky,Sikorksky CH 53 (helicopter)157139,Mindoro Philippines,Corps Marine U.S. - Military,0,24,37,Philippines,1977-10-21
2946,1977,Qtr 4,November,3,Britten,Britten  Norman BN,San Cristobal de las Casas Mexico,Leon Martinez Aereos Servicios,0,13,13,Mexico,1977-11-03
2947,1977,Qtr 4,November,19,Boeing,Boeing 707 360CET,Rome Italy,Airlines Ethiopian,0,5,5,Italy,1977-11-19
2948,1977,Qtr 4,November,19,Boeing,Boeing B 727,Near Funchal Island,Portugal         Madeira of TAP (Air Portugal),0,131,164,Portugal,1977-11-19
2949,1977,Qtr 4,November,21,Rohrbach,BAC One Eleven 420ELLV,Near Bariloche Argentina,(Argentina) Aeras Lineas Austral,0,46,79,Argentina,1977-11-21
2950,1977,Qtr 4,November,26,Nord,Nord 2501 Noratlas182,Near Beziers France,Force Air French - Military,0,32,32,France,1977-11-26
2951,1977,Qtr 4,December,2,Tupolev,Tupolev TU 154BLZ,Near Al Bayda Lebanon,Airlines Bulgarian Balkan,0,59,165,Lebanon,1977-12-02
2952,1977,Qtr 4,December,4,Boeing,Boeing B 737,Straits of Johore near,Malaysia         Ladang Kampung Malaysia Airlines,0,100,100,Equatorial Guinea,1977-12-04
2953,1977,Qtr 4,December,8,,SNIAS SA330JN4730S,Intracostal City Louisiana,Helicopter Petroleum,0,17,19,USA,1977-12-08
2954,1977,Qtr 4,December,9,Antonov,Antonov AN 24CCCP,Tarko-Saley USSRAeroflot,,0,17,23,Russia,1977-12-09
2955,1977,Qtr 4,December,11,Lockheed Martin,Lockheed P 3B Orion153428,Hierro Canary,Navy U.S. - IslandsMilitary,0,13,13,Canary Islands,1977-12-11
2956,1977,Qtr 4,December,13,McDonnell Douglas,Douglas DC 3N51071,Evansville Indiana,(Air Indiana)        Inc. Services Jet National,0,29,29,USA,1977-12-13
2957,1977,Qtr 4,December,18,McDonnell Douglas,Douglas DC 8,Near Salt Lake City Utah,Lines Air United,0,3,3,USA,1977-12-18
2958,1977,Qtr 4,December,18,Aérospatiale,Aerospatiale Caravelle 10RHB ICK,Off Madeira Portugal,SATA,0,36,57,Portugal,1977-12-18
2959,1977,Qtr 4,December,19,Britten,Britten  Norman BN,Vieques Puerto,Link Air RicoVieques,0,5,10,Puerto Ricp,1977-12-19
2960,1977,Qtr 4,December,24,,Piper PA 31,Willemstad Curacao,Netherlands Antilles Valley Air Service,0,10,10,The Netherlands,1977-12-24
2961,1977,Qtr 4,December,29,Vickers,Vickers Viscount 764 DHC BEM,Cuenca Ecuador,Nacionales Aereos Servicios,0,24,24,Ecuador,1977-12-29
2962,1978,Qtr 1,January,1,Boeing,Boeing B 747,Off Bandra Maharashtra,India Air India,0,213,213,India,1978-01-01
2963,1978,Qtr 1,January,27,McDonnell Douglas,Douglas DC 3HK,Near San Vincente Colombia,SADELCA,0,14,14,Colombia,1978-01-27
2964,1978,Qtr 1,January,31,Embraer,Embraer 110P BandeirantePT GKW,Eirunepe Brazil,TABA,0,2,14,Brazil,1978-01-31
2965,1978,Qtr 1,February,10,McDonnell Douglas,Douglas C 47A,Near Artigas Uruguay,Force Air Uruguayan,0,44,44,Uruguay,1978-02-10
2966,1978,Qtr 1,February,10,Beechcraft,Beechcraft 99N199EA,Richland Washington,Airlines Pacific Columbia,0,17,17,USA,1978-02-10
2967,1978,Qtr 1,February,11,Boeing,Boeing B 737,Cranbrook British,Canada          Columbia Pacific Western Airlines,0,42,49,UK,1978-02-11
2968,1978,Qtr 1,February,28,Aero Commander AC,Aero Commander 500AN6143X,Solvang California,Air Security,0,7,7,USA,1978-02-28
2969,1978,Qtr 1,March,1,McDonnell Douglas,McDonnell Douglas DC 10,LAX Los,California          Angeles Continental Airlines,0,2,200,USA,1978-03-01
2970,1978,Qtr 1,March,2,Fokker,Fokker F 28 Fellowship 1000 / MiG,Kano Nigeria,Airways Nigeria,0,18,18,Nigeria,1978-03-02
2971,1978,Qtr 1,March,3,British Aerospace,British Aerospace 748 2AYV 45C,Off Caracas Venezuela,Venezolana Aeropostal Linea - LAV,0,47,47,Venezuela,1978-03-03
2972,1978,Qtr 1,March,16,Tupolev,Tupolev TU 134LZ,Vrastsa Bulgaria,Airlines Bulgarian Balkan,0,73,73,Bulgaria,1978-03-16
2973,1978,Qtr 1,March,22,Cessna,Cessna T207AN7354U,Near Riverside California,Air Havasu Lake,0,6,6,USA,1978-03-22
2974,1978,Qtr 1,March,25,Fokker,Fokker F 27 Friendship 200XY,Okaraba Burma,Airways Burma,0,48,48,Myanmar,1978-03-25
2975,1978,Qtr 2,April,4,Bell,Bell 212N140AL,Off Galveston Texas,Logistics Air,0,3,6,USA,1978-04-04
2976,1978,Qtr 2,April,5,Grumman,Grumman G 21N877A,St. Thomas Virgin,Air IslandsAntilles,0,2,9,USA,1978-04-05
2977,1978,Qtr 2,April,20,Boeing,Boeing B 707,Near Murmansk Russia,Airlines Korean,0,2,109,Russia,1978-04-20
2978,1978,Qtr 2,April,29,McDonnell Douglas,Douglas C 118AHK,Bogota Colombia,Colombia LAC,0,8,12,Colombia,1978-04-29
2979,1978,Qtr 2,May,8,Boeing,Boeing B 727,Pensacola Florida,Airlines National,0,3,58,USA,1978-05-08
2980,1978,Qtr 2,May,19,Tupolev,Tupolev TU 154BCCCP,Pochinok Russia,Aeroflot,0,4,134,Russia,1978-05-19
2981,1978,Qtr 2,June,23,,Beech Queen Air A80C GGAL,Saint John's Newfoundland,Aviation Gander,0,10,10,Canada,1978-06-23
2982,1978,Qtr 2,June,26,Sikorsky,Sikorsky S 61NLN,Off Bergen Norway,Service Helikopter,0,18,18,Norway,1978-06-26
2983,1978,Qtr 2,June,26,McDonnell Douglas,McDonnell Douglas DC 9,Toronto Canada,Canada Air,0,2,107,Canada,1978-06-26
2984,1978,Qtr 3,August,14,Curtiss,Curtiss C 46HK,Sogamoso Bolivia,Aeropeca,0,18,18,Bolivia,1978-08-14
2985,1978,Qtr 3,August,26,De Havilland,de Havilland Canada DHC 6 Twin Otter 300XY,Papun Burma,Airways Burma,0,14,14,Myanmar,1978-08-26
2986,1978,Qtr 3,August,30,,Piper PA 31,Las Vegas Nevada,Airlines Vegas Las,0,10,10,USA,1978-08-30
2987,1978,Qtr 3,September,3,Vickers,Vickers Viscount 782DVP WAS,Near Kariba Rhodesia,Rhodesia (Zimbabwe)Air,0,38,56,Zimbabwe,1978-09-03
2988,1978,Qtr 3,September,3,Ilyushin,Ilyushin IL 183X,Conakry Guinea,Guinee Air,0,15,17,Guinea,1978-09-03
2989,1978,Qtr 3,September,3,De Havilland,de havilland Canada Twin Otter 200C FAIV,Coal Harbour BC,Canada Air,0,11,13,Canada,1978-09-03
2990,1978,Qtr 3,September,9,,Soloy 12EJ3N5384V,Wrangell Alaska,Taxi Air - Helicopter Temesco,0,3,3,USA,1978-09-09
2991,1978,Qtr 3,September,9,De Havilland,de Havilland Canada DHC 6 Twin Otter 100XA,Near Mexico City Mexico,Centro del Areas Lineas,0,18,21,Mexico,1978-09-09
2992,1978,Qtr 3,September,13,De Havilland,de Havilland DHC 2N37741,Whittier AKAlaska,Travel,0,6,6,USA,1978-09-13
2993,1978,Qtr 3,September,14,Fokker,Fokker F 27 Friendship 200PH,Paranaque Philippines,Force Air Philippine,12,21,28,Philippines,1978-09-14
2994,1978,Qtr 3,September,25,Boeing,Boeing B 727,San Diego California,Private / Airlines Southwest Pacific,7,137,137,USA,1978-09-25
2995,1978,Qtr 4,October,3,Fokker,Fokker F 27 Friendship 600XY,Near Mandalay Myanmar,Airways Burma,0,2,44,Myanmar,1978-10-03
2996,1978,Qtr 4,October,3,McDonnell Douglas,Douglas C 47A,Near Kuopio Finland,Force Air Finish - Military,0,15,15,Finland,1978-10-03
2997,1978,Qtr 4,October,6,McDonnell Douglas,Douglas R6D 1 (DC,Santiago de Chile Chile,Navy US - Military,0,18,18,Chile,1978-10-06
2998,1978,Qtr 4,October,7,Yakovlev,Yakovlev YAK 40CCCP,Sverdlovsk Russia,Aeroflot,0,38,38,Russia,1978-10-07
2999,1978,Qtr 4,October,8,Bell,Bell 205 1N2215W,Kenai Alaska,Taxi Air - Helicopter Era,0,2,7,USA,1978-10-08
3000,1978,Qtr 4,October,22,Britten Norman,Britten Norman BN 2A TrislanderH4,Off Bellona Solomon,Airlines Islands IslandsSolomon,0,11,11,Solomon Islands,1978-10-22
3001,1978,Qtr 4,October,23,Antonov,Antonov AN 24BCCCP,Gulf of Sivash USSRAeroflot,,0,26,26,Russia,1978-10-23
3002,1978,Qtr 4,November,5,McDonnell Douglas,Douglas DC 3SU,Off Alexandria Egypt,Services Air Delta Nile,0,18,18,Egypt,1978-11-05
3003,1978,Qtr 4,November,15,McDonnell Douglas,McDonnell Douglas DC 8,Near Katunayake Sri,Airlines Icelandic LankaLoftleidir,0,183,262,Sri Lanka,1978-11-15
3004,1978,Qtr 4,November,18,De Havilland,de Havilland Canada DHC 6 Twin Otter 300F,Off Marie Galante Island West,Guadeloupe IndiesAir,0,15,20,Caribbean Islands,1978-11-18
3005,1978,Qtr 4,November,19,Antonov,Antonov AN 12?,Near Leh India,Force Air Indian - Military,1,77,77,India,1978-11-19
3006,1978,Qtr 4,November,21,McDonnell Douglas,Douglas C 47AHK,Near Rubio Venezuela,Venado el Aereo,0,27,27,Venezuela,1978-11-21
3007,1978,Qtr 4,November,25,De Havilland,de Havilland DHC 2N37906,Hydaburg Alaska,Airlines Tyee,0,5,5,USA,1978-11-25
3008,1978,Qtr 4,December,4,De Havilland,de Havilland Canada DHC 6 Twin Otter 300N25RM,Near Steamboat Springs Coloado,Airways Mountain Rocky,0,2,22,USA,1978-12-04
3009,1978,Qtr 4,December,16,Cessna,Cessna 421 Golden EagleI ASON,Selvapiana Italy,70 Air,0,10,10,Italy,1978-12-16
