Unnamed: 0,Year,Quarter,Month,Day,Aircraft Manufacturer,Aircraft,Location,Operator,Ground,Fatalities (air),Aboard,Country,Date,Weekday
2859,1976,Qtr 2,April,5,Boeing,Boeing B 727,Ketchikan Alaska,Airlines Alaska,0,1,50,USA,1976-04-05,Monday
2860,1976,Qtr 2,April,14,Hawker Siddeley,Hawker Siddeley HS 748 2LV,Neuquen Argentina,Fiscales Petroliferos Yacimientos,0,34,34,Argentina,1976-04-14,Wednesday
2861,1976,Qtr 2,April,23,Bell,Bell 205 A 1 helicopterN8167J,Gulf of MexicoPetroleum Helicopter,Unknown,0,12,12,USA,1976-04-23,Friday
2862,1976,Qtr 2,April,27,Boeing,Boeing B 727,St. Thomas Virgin,Airlines IslandsAmerican,0,37,88,USA,1976-04-27,Tuesday
2863,1976,Qtr 2,May,5,Britten,Britten  Norman BN,Camuigan Philippines,Aerotransport Philippine,0,4,10,Philippines,1976-05-05,Wednesday
2864,1976,Qtr 2,May,9,Boeing,Boeing B 747,Near Cuneca Spain,Force Air Iranian Imperial - Military,0,17,17,Spain,1976-05-09,Sunday
2865,1976,Qtr 2,May,15,Antonov,Antonov AN 24CCCP,Chernigov Ukraine,USSRAeroflot,0,52,52,Ukraine,1976-05-15,Saturday
2866,1976,Qtr 2,May,23,Rohrbach,BAC One Eleven 527FKRP,Zamboanga Philipines,Lines Air Philippine,3,14,87,Philippines,1976-05-23,Sunday
2867,1976,Qtr 2,June,1,Tupolev,Tupolev TU 154ACCCP,Nacias Nguema Equatorial,GuineaAeroflot,0,45,45,Equatorial Guinea,1976-06-01,Tuesday
2868,1976,Qtr 2,June,4,Unknown,Lockheed 188A ElectraRP C1061,Agana Guam,Manila Air,1,45,45,USA,1976-06-04,Friday
2869,1976,Qtr 2,June,6,GAF Nomad,GAF Nomad N 22B9M,Off Kota Kinabalu Malaysia,Air Sabah,0,11,11,Malaysia,1976-06-06,Sunday
